run_id,exp_type,file_size_mb,scenario,cpu_quota,threads,chunk_kb,duration_s,throughput_mbps,cost_cpu_seconds,efficiency_mb_per_cpus,bytes_downloaded,exit_code
28,anchor,10,IoT_Weak,2.0,4,4096,128.082,0.66,0.423242,23.63,10485760,0
29,anchor_baseline,50,Edge_Normal_BASELINE,1.0,4,1024,0.373,11983.94,0.357455,139.88,52428800,0
39,anchor,50,Edge_Normal,0.5,8,256,52.411,8.1,0.609693,82.01,52428800,0
40,anchor,50,Edge_Normal,0.5,8,1024,45.615,9.32,0.600882,83.21,52428800,0
41,anchor,50,Edge_Normal,0.5,8,4096,53.494,7.93,0.629837,79.39,52428800,0
42,anchor,50,Edge_Normal,0.5,16,256,35.511,12.01,0.561853,88.99,52428800,0
43,anchor,50,Edge_Normal,0.5,16,1024,36.078,11.82,0.613109,81.55,52428800,0
44,anchor,50,Edge_Normal,0.5,16,4096,35.202,12.13,0.611883,81.72,52428800,0
53,anchor,50,Edge_Normal,1.0,4,4096,86.974,4.84,0.625866,79.89,52428800,0
54,anchor,50,Edge_Normal,1.0,8,256,48.932,8.63,0.58516,85.45,52428800,0
55,anchor,50,Edge_Normal,1.0,8,1024,49.743,8.49,0.582004,85.91,52428800,0
56,anchor,50,Edge_Normal,1.0,8,4096,52.633,8.02,0.628154,79.6,52428800,0
57,anchor,50,Edge_Normal,1.0,16,256,31.651,13.39,0.567463,88.11,52428800,0
58,anchor,50,Edge_Normal,1.0,16,1024,39.653,10.67,0.606665,82.42,52428800,0
59,anchor,50,Edge_Normal,1.0,16,4096,36.176,11.7,0.628451,79.56,52428800,0
66,anchor,50,Edge_Normal,2.0,4,256,88.595,4.75,0.605249,82.61,52428800,0
68,anchor,50,Edge_Normal,2.0,4,4096,90.582,4.65,0.638153,78.35,52428800,0
69,anchor,50,Edge_Normal,2.0,8,256,49.091,8.6,0.595431,83.97,52428800,0
70,anchor,50,Edge_Normal,2.0,8,1024,53.116,7.95,0.597097,83.74,52428800,0
71,anchor,50,Edge_Normal,2.0,8,4096,68.024,6.2,0.630676,79.28,52428800,0
72,anchor,50,Edge_Normal,2.0,16,256,30.159,14.06,0.576105,86.79,52428800,0
73,anchor,50,Edge_Normal,2.0,16,1024,40.304,10.49,0.611502,81.77,52428800,0
74,anchor,50,Edge_Normal,2.0,16,4096,41.659,10.15,0.61882,80.8,52428800,0
75,anchor_baseline,100,Cloud_Fast_BASELINE,1.0,4,1024,0.392,15039.21,0.374452,267.06,104857600,0
76,anchor,100,Cloud_Fast,0.5,1,256,1.562,863.66,0.407015,245.69,104857600,0
77,anchor,100,Cloud_Fast,0.5,1,1024,1.608,820.05,0.421143,237.45,104857600,0
78,anchor,100,Cloud_Fast,0.5,1,4096,1.611,862.24,0.440743,226.89,104857600,0
79,anchor,100,Cloud_Fast,0.5,2,256,1.581,872.32,0.404129,247.45,104857600,0
80,anchor,100,Cloud_Fast,0.5,2,1024,1.572,870.84,0.426718,234.35,104857600,0
81,anchor,100,Cloud_Fast,0.5,2,4096,1.557,871.65,0.441985,226.25,104857600,0
82,anchor,100,Cloud_Fast,0.5,4,256,1.539,880.01,0.401681,248.95,104857600,0
83,anchor,100,Cloud_Fast,0.5,4,1024,1.603,826.02,0.433335,230.77,104857600,0
84,anchor,100,Cloud_Fast,0.5,4,4096,1.553,868.21,0.451847,221.31,104857600,0
